package,prod_files,test_files,subpackages,internal_importers,external_importers,internal_test_importers,external_test_importers,total_importers,total_files
logging,1,0,0,98,4,0,0,102,1
models,25,0,0,94,3,17,2,97,25
services,127,18,1,73,16,11,0,89,145
analytics,60,10,2,40,4,6,1,44,70
security,16,8,1,35,6,15,0,41,24
audit,30,2,0,27,4,0,0,31,32
auth,1,0,0,22,0,1,0,22,1
cube,13,1,1,18,4,1,0,22,14
metadata,17,7,0,17,4,2,0,21,24
events,11,1,0,17,3,1,0,20,12
api,222,48,2,3,12,7,0,15,270
db,7,1,1,14,0,2,0,14,8
lineage,3,0,0,10,4,0,0,14,3
temporal,16,2,3,12,1,4,0,13,18
wealth,29,4,7,7,6,0,0,13,33
identity,1,0,0,11,1,4,0,12,1
rules,21,5,0,10,2,3,0,12,26
handlers,137,15,1,7,4,2,0,11,152
platform,2,0,0,10,1,0,0,11,2
query,16,2,0,7,4,0,0,11,18
domain,11,4,0,9,1,2,0,10,15
observability,17,0,2,7,3,0,0,10,17
semantic,2,0,0,9,1,0,0,10,2
boresolver,20,6,0,9,0,2,0,9,26
cbo,11,1,0,8,1,0,0,9,12
goldcopy,6,0,0,9,0,1,0,9,6
pagestudio,9,0,0,7,2,0,0,9,9
repository,2,0,0,7,0,1,0,7,2
scheduler_intelligence,15,0,3,7,0,1,0,7,15
validation,7,2,0,6,1,1,0,7,9
workflows,24,4,3,2,5,0,0,7,28
aso,19,0,0,6,0,0,0,6,19
catalog,5,0,0,5,1,0,0,6,5
dynamic,2,0,0,3,3,0,0,6,2
ml,3,2,6,6,0,4,0,6,5
tenant,2,1,0,5,1,2,0,6,3
values,1,0,0,6,0,0,0,6,1
viewmodel,1,0,0,6,0,0,0,6,1
graphql,21,0,1,5,0,0,0,5,21
store,3,0,0,4,1,0,0,5,3
webhooks,1,0,0,5,0,0,0,5,1
billing,7,0,0,4,0,0,0,4,7
config,4,0,0,0,4,3,0,4,4
mdm,6,2,0,4,0,0,0,4,8
oauth,1,0,0,4,0,0,0,4,1
policy,2,0,0,3,1,0,0,4,2
profiler,2,0,1,3,1,0,0,4,2
rag,10,2,3,3,1,2,0,4,12
region,2,1,0,4,0,1,0,4,3
scanner,3,0,0,4,0,0,0,4,3
simulation,8,0,0,3,1,0,0,4,8
sync,13,1,0,3,1,0,0,4,14
activities,2,0,0,2,1,0,0,3,2
apistudio,13,0,0,3,0,0,0,3,13
bp,10,1,2,2,1,2,0,3,11
calcengine,13,1,1,3,0,1,0,3,14
compliance,4,0,4,2,1,0,0,3,4
household,2,0,0,3,0,0,0,3,2
middleware,9,4,0,3,0,0,0,3,13
nba,7,0,1,1,2,0,0,3,7
notifications,5,0,0,3,0,0,0,3,5
optimizer,2,0,0,3,0,1,0,3,2
portfoliomaster,3,0,0,3,0,1,0,3,3
pricing,4,0,0,3,0,0,0,3,4
queue,1,0,0,3,0,0,0,3,1
reports,8,0,0,3,0,1,0,3,8
requestcontext,1,0,0,3,0,0,0,3,1
starlib,8,3,0,3,0,0,0,3,11
succession,2,0,0,3,0,0,0,3,2
trino,1,0,0,2,1,0,0,3,1
wasm,2,0,0,2,1,0,0,3,2
access,1,0,0,2,0,0,0,2,1
ai,13,1,2,2,0,0,0,2,14
altinvest,2,0,0,2,0,0,0,2,2
bo,1,0,0,2,0,0,0,2,1
cache,5,0,0,0,2,0,0,2,5
calendar,2,1,0,1,1,0,0,2,3
cash,3,0,0,1,1,0,0,2,3
cubeengine,1,0,0,2,0,0,0,2,1
google,1,0,0,2,0,0,0,2,1
guardrails,3,1,0,2,0,0,0,2,4
indexing,3,0,0,2,0,0,0,2,3
infrastructure,1,0,0,2,0,0,0,2,1
jobs,4,0,0,2,0,0,0,2,4
ops,33,3,0,1,1,1,0,2,36
preference,3,0,0,2,0,0,0,2,3
review,4,0,0,1,1,0,0,2,4
risk,3,0,0,1,1,0,0,2,3
transaction,3,1,0,1,1,0,0,2,4
views,1,0,0,2,0,0,0,2,1
altinv,9,0,0,1,0,0,0,1,9
bundles,4,4,0,0,1,0,0,1,8
business_process,8,1,0,1,0,0,0,1,9
calculation,1,0,0,1,0,0,0,1,1
catalogsync,7,0,0,0,1,0,0,1,7
crypto,1,0,0,1,0,0,0,1,1
datafusion,1,0,0,1,0,0,0,1,1
delegation,1,0,0,1,0,0,0,1,1
factor,1,0,0,1,0,0,0,1,1
feebilling,2,0,0,1,0,0,0,1,2
financial,5,1,0,1,0,1,0,1,6
forecasting,1,0,0,0,1,0,0,1,1
help,1,0,0,1,0,0,0,1,1
ledger,1,0,0,1,0,0,0,1,1
marketdata,2,0,0,0,1,0,0,1,2
metrics,3,0,0,1,0,1,0,1,3
nl_intelligence,8,0,0,1,0,0,0,1,8
offboarding,1,0,0,1,0,0,0,1,1
planner,6,2,0,1,0,0,0,1,8
position,3,1,0,1,0,1,0,1,4
querybuilder,3,0,0,1,0,0,0,1,3
rdl,2,1,0,1,0,0,0,1,3
reporting,16,0,0,1,0,0,0,1,16
scheduler,4,0,0,0,1,0,0,1,4
semanticviews,1,0,0,1,0,0,0,1,1
taxplan,2,0,0,1,0,0,0,1,2
tenantauto,2,0,0,0,1,0,0,1,2
tests,1,0,0,0,1,0,0,1,1
triggers,1,0,0,0,1,0,0,1,1
viewgen,4,0,0,1,0,0,0,1,4
viewmerge,1,0,0,1,0,0,0,1,1
workers,3,0,0,0,1,0,0,1,3
calc-engine,0,0,6,0,0,0,0,0,0
