                                List of relations
 Schema |                   Name                   |       Type        |  Owner   
--------+------------------------------------------+-------------------+----------
 public | _calc_test                               | table             | postgres
 public | _xirr_test                               | table             | postgres
 public | abac_access_audit                        | table             | postgres
 public | abac_attribute_registry                  | table             | postgres
 public | abac_delegations                         | table             | postgres
 public | abac_policies                            | table             | postgres
 public | abac_policy                              | table             | postgres
 public | abac_policy_field_materialization        | table             | postgres
 public | abac_shadow_logs                         | table             | postgres
 public | abbreviations                            | table             | postgres
 public | access_control_policies                  | table             | postgres
 public | access_decision_log                      | table             | postgres
 public | access_decision_trace                    | table             | postgres
 public | access_rule                              | table             | postgres
 public | accounts                                 | table             | postgres
 public | active_requests                          | table             | postgres
 public | activity_events                          | table             | postgres
 public | admin_audit_logs                         | table             | postgres
 public | advisor_kpi_snapshots                    | table             | postgres
 public | advisor_practice_metrics                 | table             | postgres
 public | advisor_tasks                            | table             | postgres
 public | ai_business_term_drafts                  | table             | postgres
 public | ai_feedback                              | table             | postgres
 public | ai_layouts                               | table             | postgres
 public | ai_model_backtest_reports                | table             | postgres
 public | ai_model_metrics                         | table             | postgres
 public | ai_model_registry                        | table             | postgres
 public | ai_model_versions                        | table             | postgres
 public | ai_requests                              | table             | postgres
 public | ai_training_data                         | table             | postgres
 public | alerts                                   | table             | postgres
 public | allocation_models                        | table             | postgres
 public | allocation_rebalance_triggers            | table             | postgres
 public | allocation_recommendations               | table             | postgres
 public | alpha_datasource                         | table             | postgres
 public | alpha_product                            | table             | postgres
 public | alt_investment_audit_log                 | table             | postgres
 public | alt_investment_benchmarks                | table             | postgres
 public | alt_investment_documents                 | table             | postgres
 public | alternative_fee_structures               | table             | postgres
 public | alternative_investments                  | table             | postgres
 public | alternative_management_fee_calculations  | table             | postgres
 public | alternative_performance_fee_calculations | table             | postgres
 public | api_access_rules                         | table             | postgres
 public | api_audit_logs                           | table             | postgres
 public | api_definitions                          | table             | postgres
 public | api_documentation                        | table             | postgres
 public | api_endpoints                            | table             | postgres
 public | api_endpoints_catalog                    | table             | postgres
 public | api_groups                               | table             | postgres
 public | api_hooks                                | table             | postgres
 public | api_key_usage                            | table             | postgres
 public | api_keys                                 | table             | postgres
 public | api_metrics                              | partitioned table | postgres
 public | api_metrics_current_month                | table             | postgres
 public | api_metrics_next_month                   | table             | postgres
 public | api_security_configs                     | table             | postgres
 public | api_telemetry                            | table             | postgres
 public | api_workflow_approvals                   | table             | postgres
 public | apis                                     | table             | postgres
 public | app_user                                 | table             | postgres
 public | applied_optimizations                    | table             | postgres
 public | approval_workflows                       | table             | postgres
 public | art_collectibles                         | table             | postgres
 public | artifact_bundles                         | table             | postgres
 public | aso_tuning_hints                         | table             | postgres
 public | asset                                    | table             | postgres
 public | async_jobs                               | table             | postgres
 public | attachments                              | table             | postgres
 public | audit_alerts                             | table             | postgres
 public | audit_events                             | table             | postgres
 public | audit_gold_copy_sync                     | table             | postgres
 public | audit_ledger                             | table             | postgres
 public | audit_log                                | table             | postgres
 public | audit_logs                               | table             | postgres
 public | audit_retention_policies                 | table             | postgres
 public | audit_summaries                          | table             | postgres
 public | audit_trail                              | table             | postgres
 public | auth_audit_log                           | table             | postgres
 public | auto_tune_config                         | table             | postgres
 public | backend_engine_capabilities              | table             | postgres
 public | bi_dashboard                             | table             | postgres
 public | bi_widget                                | table             | postgres
 public | binding_related_table                    | table             | postgres
 public | blackouts                                | table             | postgres
 public | bo_audit_log                             | table             | postgres
 public | bo_fields                                | table             | postgres
 public | bo_governance_events                     | table             | postgres
 public | bo_instances                             | table             | postgres
 public | bo_lifecycle_states                      | table             | postgres
 public | bo_lifecycle_transition_events           | table             | postgres
 public | bo_lifecycle_transitions                 | table             | postgres
 public | bo_relationship                          | table             | postgres
 public | bo_runtime_governance_audit              | table             | postgres
 public | bo_runtime_policy_versions               | table             | postgres
 public | bo_subtypes                              | table             | postgres
 public | bo_term_metadata                         | table             | postgres
 public | bo_type                                  | table             | postgres
 public | bp_ab_tests                              | table             | postgres
 public | bp_activity_logs                         | table             | postgres
 public | bp_adaptive_triggers                     | table             | postgres
 public | bp_ai_models                             | table             | postgres
 public | bp_approval_delegations                  | table             | postgres
 public | bp_audit_trail                           | table             | postgres
 public | bp_best_practices                        | table             | postgres
 public | bp_branch_analytics_extended             | table             | postgres
 public | bp_branch_anomalies                      | table             | postgres
 public | bp_branch_executions                     | table             | postgres
 public | bp_branch_metrics                        | table             | postgres
