                                         Table "public.ts_order_alloc"
            Column             |            Type             | Collation | Nullable |          Default          
-------------------------------+-----------------------------+-----------+----------+---------------------------
 trade_id                      | numeric(18,0)               |           | not null | 
 acct_cd                       | character varying(20)       |           | not null | 
 order_id                      | numeric(18,0)               |           | not null | 
 target_qty                    | numeric(18,4)               |           |          | 
 target_amt                    | numeric(18,4)               |           |          | 
 target_base_amt               | numeric(18,4)               |           |          | 
 target_inc_amt                | numeric(18,4)               |           |          | 
 target_inc_base_amt           | numeric(18,4)               |           |          | 
 target_original_face          | numeric(18,4)               |           |          | 
 exec_qty                      | numeric(18,4)               |           |          | 
 exec_amt                      | numeric(18,4)               |           |          | 
 exec_original_face            | numeric(18,4)               |           |          | 
 futr_contract_amt             | numeric(18,4)               |           |          | 
 commision_rate                | numeric(18,9)               |           |          | 
 commision_ind                 | character varying(10)       |           |          | 
 commision_amt                 | numeric(18,4)               |           |          | 
 inc_amt                       | numeric(18,4)               |           |          | 
 fee_1_amt                     | numeric(18,4)               |           |          | 
 fee_2_amt                     | numeric(18,4)               |           |          | 
 fee_3_amt                     | numeric(18,4)               |           |          | 
 fee_4_amt                     | numeric(18,4)               |           |          | 
 fee_5_amt                     | numeric(18,4)               |           |          | 
 fee_6_amt                     | numeric(18,4)               |           |          | 
 net_prin_amt                  | numeric(18,4)               |           |          | 
 exec_settle_price             | double precision            |           |          | 
 ext_status                    | character varying(25)       |           |          | 
 commision_settle_amt          | numeric(18,4)               |           |          | 
 fee_1_settle_amt              | numeric(18,4)               |           |          | 
 fee_2_settle_amt              | numeric(18,4)               |           |          | 
 fee_3_settle_amt              | numeric(18,4)               |           |          | 
 fee_4_settle_amt              | numeric(18,4)               |           |          | 
 fee_5_settle_amt              | numeric(18,4)               |           |          | 
 fee_6_settle_amt              | numeric(18,4)               |           |          | 
 exec_settle_amt               | numeric(18,4)               |           |          | 
 net_prin_settle_amt           | numeric(18,4)               |           |          | 
 prin_settle_crrncy            | character varying(3)        |           |          | 
 prin_settle_fx_rate           | double precision            |           |          | 
 prin_settle_loc               | character varying(30)       |           |          | 
 inc_settle_amt                | numeric(18,4)               |           |          | 
 inc_settle_crrncy             | character varying(3)        |           |          | 
 inc_settle_fx_rate            | double precision            |           |          | 
 inc_settle_loc                | character varying(30)       |           |          | 
 exec_base_price               | double precision            |           |          | 
 commision_base_amt            | numeric(18,4)               |           |          | 
 fee_1_base_amt                | numeric(18,4)               |           |          | 
 fee_2_base_amt                | numeric(18,4)               |           |          | 
 fee_3_base_amt                | numeric(18,4)               |           |          | 
 fee_4_base_amt                | numeric(18,4)               |           |          | 
 fee_5_base_amt                | numeric(18,4)               |           |          | 
 fee_6_base_amt                | numeric(18,4)               |           |          | 
 exec_base_amt                 | numeric(18,4)               |           |          | 
 net_prin_base_amt             | numeric(18,4)               |           |          | 
 prin_base_fx_rate             | double precision            |           |          | 
 ref_prin_base_fx_rate         | double precision            |           |          | 
