                                            Table "public.cs_fund"
            Column             |            Type             | Collation | Nullable |         Default          
-------------------------------+-----------------------------+-----------+----------+--------------------------
 acct_cd                       | character varying(20)       |           | not null | 
 acct_name                     | character varying(60)       |           | not null | 
 acct_sht_name                 | character varying(20)       |           |          | 
 acct_typ_cd                   | character(1)                |           | not null | 
 parent_child_flag             | character varying(1)        |           |          | 
 crrncy_cd                     | character varying(3)        |           | not null | 
 state_cd                      | character varying(4)        |           |          | 
 cntry_cd                      | character varying(3)        |           |          | 
 mkt_val                       | numeric(25,4)               |           |          | 
 net_assets                    | numeric(25,4)               |           |          | 
 tot_assets                    | numeric(25,4)               |           |          | 
 fund_shrs_outst               | numeric(18,3)               |           |          | 
 tot_cost                      | numeric(25,4)               |           |          | 
 net_cash                      | numeric(17,2)               |           |          | 
 tot_invstmnts                 | numeric(17,2)               |           |          | 
 net_funds_avail               | numeric(17,2)               |           |          | 
 liabilities                   | numeric(17,2)               |           |          | 
 amrtzd_cost                   | numeric(17,2)               |           |          | 
 avg_cost                      | numeric(18,4)               |           |          | 
 oth_asset                     | numeric(17,2)               |           |          | 
 div_received                  | numeric(17,2)               |           |          | 
 int_received                  | numeric(17,2)               |           |          | 
 cntrbs                        | numeric(17,2)               |           |          | 
 pmnts                         | numeric(17,2)               |           |          | 
 transfers                     | numeric(17,2)               |           |          | 
 cash_bal_sod                  | numeric(17,2)               |           |          | 
 recvb_sec_sold                | numeric(17,2)               |           |          | 
 paybl_sec_purch               | numeric(17,2)               |           |          | 
 recvb_fund_shrs_sold          | numeric(17,2)               |           |          | 
 paybl_fund_shrs_liqd          | numeric(17,2)               |           |          | 
 div_rcvble                    | numeric(17,2)               |           |          | 
 accrued_int_incm              | numeric(17,2)               |           |          | 
 accrued_exp_incm              | numeric(17,2)               |           |          | 
 div_paybl                     | numeric(17,2)               |           |          | 
 oth_liab                      | numeric(17,2)               |           |          | 
 eqty_acct                     | character varying(1)        |           |          | 
 syst_of_reference             | character varying(20)       |           |          | 
 nexpert_inst                  | numeric(4,0)                |           |          | 
 theme_1                       | character varying(30)       |           |          | 
 theme_2                       | character varying(30)       |           |          | 
 theme_3                       | character varying(30)       |           |          | 
 lot_size                      | numeric(18,4)               |           |          | 
 allow_buy                     | character(1)                |           | not null | 'Y'::bpchar
 allow_sell                    | character(1)                |           | not null | 'Y'::bpchar
 allow_neg_cash                | character(1)                |           | not null | 'Y'::bpchar
 manager                       | character varying(30)       |           |          | 
 model_priv                    | character varying(10)       |           |          | 
 default_model_cd              | character varying(20)       |           |          | 
 start_batch_viol              | numeric(18,0)               |           |          | 
 shaw_manager_cd               | character varying(6)        |           |          | 
 shaw_class_cd                 | character varying(6)        |           |          | 
 crd_lock                      | character(1)                |           | not null | 'N'::bpchar
 erisa_eligible                | character(1)                |           | not null | 'N'::bpchar
 index_sec_id                  | numeric(18,0)               |           |          | 
 compliance_tolerance          | numeric(5,2)                |           |          | 
 apply_guidelines              | character varying(1)        |           |          | 
 gain_loss_sensitive           | character(1)                |           | not null | 'N'::bpchar
 short_short_gains             | numeric(18,4)               |           |          | 
 gross_income                  | numeric(18,4)               |           |          | 
 tax_lot_sell_cnvtn            | character varying(10)       |           |          | 
 bank_acct_num                 | character varying(40)       |           |          | 
